Gr Lat, W Lon, Az (W from N)
-80.202409,36.906203,179.96355
-80.256588,36.875139,190.14008
-80.310231,36.778797,194.96927
-80.363751,36.691809,190.31663
-80.418428,36.648077,184.80566
-80.473345,36.623315,185.84069
-80.527835,36.566895,188.50738
-80.582327,36.510689,188.5201
-80.636809,36.453469,186.8791
-80.691307,36.416358,178.31191
-80.746079,36.460972,178.64924
-80.799464,36.418836,184.97283
-80.854343,36.388471,184.23018
-80.907846,36.354704,197.95036
-80.955537,36.166834,204.93039
-81.007968,36.046165,197.00539
-81.06123,35.946024,201.42486
-81.110363,35.773513,199.85404
-81.165008,35.690023,195.01786
-81.216277,35.573878,211.76585
-81.25591,35.309227,225.32439
-81.294986,35.044079,216.75279
-81.343978,34.864758,205.13007
-81.395169,34.718162,199.34549
-81.448154,34.605728,200.79838
-81.49797,34.440582,207.54472
-81.546105,34.246252,209.83309
-81.594234,34.051654,208.57655
-81.643339,33.870174,204.12564
-81.694942,33.726729,199.3403
-81.747431,33.60185,200.34983
-81.798309,33.443881,202.12545
-81.849741,33.294811,201.65714
-81.900914,33.14077,203.72778
-81.950802,32.963792,207.91076
-81.998574,32.756108,210.55944
-82.046148,32.544717,210.80804
-82.093677,32.331531,213.11369
-82.138843,32.090749,207.18628
-82.19099,31.951045,207.09106
-82.236105,31.708101,206.83582
-82.288368,31.571008,199.23627
-82.340214,31.420172,210.44906
-82.382026,31.141585,223.16142
-82.421242,30.835215,222.33506
-82.464222,30.561717,219.48175
-82.507135,30.281802,218.47049
-82.551219,30.017279,210.75799
-82.601318,29.833307,209.43507
-82.647037,29.579775,202.96726
-82.700371,29.48874,192.13381
-82.75406,29.380804,205.26713
-82.797767,29.105278,206.34485
-82.849188,28.988495,203.46004
-82.896225,28.742815,210.61388
-82.944433,28.514685,206.53748
-82.994356,28.325339,200.94654
-83.046571,28.175256,200.39118
-83.097339,27.989472,203.73596
-83.147216,27.787333,208.05332
-83.194319,27.536521,210.02948
-83.242618,27.302609,211.81459
-83.288967,27.017424,204.94249
-83.339922,26.896882,188.66382
-83.394196,26.861893,191.4864
-83.446085,26.689179,197.3069
-83.498959,26.55579,199.97518
-83.545982,26.347763,184.32885
-83.597051,26.476482,185.29554
-83.646756,26.244436,217.41484
-83.683861,25.85549,222.49198
-83.72783,25.551513,212.49917
-83.776427,25.294513,207.74131
-83.825457,25.055743,201.31212
-83.877957,24.904932,194.5347
-83.931488,24.776929,195.88021
-83.983163,24.599729,202.00835
-84.032295,24.365038,196.58871
-84.086663,24.282602,191.24336
-84.139682,24.136276,200.24889
-84.189061,23.888556,207.93603
-84.236621,23.604082,199.62143
-84.290156,23.508261,191.68718
-84.343071,23.360737,193.66458
-84.396265,23.224222,193.20946
-84.449437,23.082518,190.45865
-84.503275,22.998951,188.53864
-84.556923,22.892804,191.93817
-84.60994,22.73813,195.65476
-84.662292,22.55406,195.13544
-84.715085,22.408768,190.81179
-84.768822,22.311098,193.81928
-84.820678,22.098718,197.26317
-84.87303,21.927386,193.54422
-84.925742,21.791745,196.40931
-84.976587,21.556182,193.74086
-85.030987,21.47478,197.88084
-85.078284,21.148837,202.4633
-85.130962,20.966556,190.19695
-85.184652,20.901135,180.43106
-85.239089,20.939961,179.31978
-85.293312,20.898137,177.32215
-85.347146,20.986783,185.09096
-85.3974,20.759217,203.04447
-85.447124,20.425314,199.6467
-85.500632,20.267363,201.35133
-85.547344,19.89349,203.47456
-85.599605,19.684554,197.1512
-85.65324,19.437123,216.96693
-85.671487,18.942538,204.93932
-85.728761,18.950094,187.62381
-85.781077,18.717808,197.86731
-85.83253,18.46448,204.77221
-85.879569,18.056776,210.71242
-85.926491,17.651764,205.65215
-85.977528,17.3611,200.78541
-86.028406,17.067012,194.07989
-86.082235,16.954984,183.67343
-86.13661,16.945003,185.63233
-86.189663,16.77183,193.06847
-86.24236,16.544925,192.20761
-86.29583,16.392857,186.46957
-86.35001,16.33226,182.46227
-86.40424,16.298423,182.23996
-86.458479,16.242597,187.04349
-86.511508,16.055345,195.40532
-86.562962,15.733372,198.3678
-86.614886,15.446636,192.6681
-86.668674,15.3008,184.02037
-86.722859,15.294089,184.54893
-86.776377,15.123063,190.96898
-86.828883,14.895725,184.21695
-86.883139,14.960728,179.94965
-86.937178,14.87424,188.99735
-86.989856,14.609936,193.71929
-87.042681,14.346921,194.37093
-87.095006,14.049195,200.86948
-87.143974,13.536567,200.69927
-87.195463,13.247219,192.50186
-87.248771,13.026364,203.56125
-87.291626,12.317761,209.75062
-87.341979,11.849084,203.91162
-87.391055,11.315503,205.30341
-87.440185,10.776616,199.02911
-87.493159,10.486222,186.47033
-87.547219,10.476316,180.17816
-87.601346,10.459048,182.5535
-87.655307,10.335081,187.91033
-87.708464,10.058725,189.04528
-87.762164,9.8765727,185.74621
-87.816268,9.7521643,188.16152
-87.869033,9.4347587,195.05634
-87.920567,8.9461295,196.28848
-87.973041,8.54961,196.61013
-88.024076,8.0186939,202.78307
-88.07272,7.2673464,206.95721
-88.120935,6.4830394,202.43283
-88.172344,5.9574611,196.74242
-88.223623,5.463432,197.23871
-88.272353,4.9026172,202.45459
-88.318657,4.0907419,201.30011
-88.370419,3.5441972,192.36482
-88.423574,3.2475535,189.19956
-88.476928,2.8797626,195.49413
-88.527285,2.099366,207.76119
-88.571783,0.83615531,213.64404
-88.617342,359.59366,221.32582
-88.651694,357.7856,227.60175
-88.689706,356.08713,229.0459
-88.721547,354.10851,239.60553
-88.743341,351.78937,247.79052
-88.761839,349.36719,253.55613
-88.772983,346.84555,238.76835
-88.813902,345.18978,217.78471
-88.857313,343.58951,215.68546
-88.901085,341.96212,220.46783
-88.938127,339.86898,233.76633
-88.963138,337.18284,241.11588
-88.989179,334.50645,238.5524
-89.018188,331.85573,240.91586
-89.039,329.04892,243.22404
-89.060265,326.6997,265.73799
-89.043375,323.15833,269.14387
-89.060114,320.00422,251.64951
-89.075861,316.79658,261.10209
-89.074618,313.37723,272.71826
-89.068355,309.97312,272.80661
-89.067048,306.62441,267.60746
-89.070807,303.26486,274.10711
-89.057154,299.99168,280.06195
-89.049624,296.75177,272.80753
-89.04985,293.44382,272.01617
-89.044052,290.18218,273.86327
-89.040848,286.93554,269.49644
-89.043797,283.7059,267.45141
-89.044793,280.4562,274.79793
-89.033701,277.29698,284.96106
-89.015348,274.28342,289.23671
-88.996324,271.3502,290.22453
-88.976373,268.49454,293.06529
-88.952423,265.79412,298.51498
-88.923093,263.31733,299.58316
-88.897383,260.80789,292.52606
-88.88079,258.15409,293.1511
-88.854353,255.76198,297.09911
-88.830596,253.35451,301.1271
-88.797696,251.2604,316.38691
-88.752063,249.88424,331.28555
-88.701008,248.92911,336.74282
-88.649719,248.04928,339.42297
-88.596957,247.36568,335.7177
-88.548634,246.30106,323.79105
-88.508312,244.90721,306.03112
-88.483408,242.93137,317.75333
-88.442397,242.65272,344.55288
-88.403145,242.18461,315.97202
-88.376919,240.47582,313.18646
-88.330295,239.48033,324.62029
-88.287303,238.36527,337.24016
-88.232647,238.1585,2.7275758
-88.17763,238.57658,8.2668931
-88.122086,238.72385,355.54811
-88.068009,238.39478,349.16851
-88.013213,238.17088,349.04814
-87.959192,237.85595,352.35403
-87.903881,237.81395,346.59896
-87.85341,237.24243,336.06158
-87.80283,236.67686,336.41589
-87.751996,236.14582,331.04888
-87.707446,235.38908,319.48682
-87.669434,234.423,316.80744
-87.627896,233.57941,320.86741
-87.584699,232.79045,329.92526
-87.534364,232.33122,352.3513
-87.479256,232.49892,7.2234047
-87.424244,232.6929,14.129804
-87.37135,233.13538,17.855741
-87.319118,233.46531,2.7213921
-87.26395,233.29765,347.44258
-87.211258,233.01215,346.33173
-87.157464,232.81031,351.11481
-87.102513,232.71318,355.37738
-87.047226,232.67728,353.33235
-86.992847,232.5107,348.8454
-86.938843,232.31395,348.77864
-86.884507,232.15032,347.21274
-86.831314,231.90798,343.25761
-86.779036,231.61729,341.29905
-86.726761,231.31711,330.35318
-86.686582,230.72976,339.43921
-86.63011,230.71601,1.8775597
-86.57485,230.82735,6.755927
-86.519827,230.96855,6.4391007
-86.464554,231.06695,5.0227397
-86.409151,231.16035,2.8146676
-86.353503,231.18946,354.12556
-86.299808,231.02182,350.20396
-86.245642,230.93458,357.2198
